dir,exists,files,bytes,mb,top_exts
qwen_projects,True,94,287275279,273.97,".jsonl:92; <none>:2"
qwen_debug,True,43,18186434,17.34,".txt:42; <none>:1"
qwen_skills,True,42,358724,0.34,".md:38; <none>:4"
qwen_docs,True,31,215317,0.21,".md:28; <none>:2; .html:1"
qwen_superpowers,True,34,209405,0.2,".md:15; <none>:13; .pyc:2; .json:2; .js:1; .sh:1"
qwen_integrations,True,46,200876,0.19,".md:14; .sh:11; <none>:9; .txt:7; .toml:3; .py:1; .pyc:1"
qwen_agents,True,46,193927,0.18,".md:44; <none>:1; .sh:1"
qwen_security-guidance,True,5,36167,0.03,"<none>:2; .py:1; .json:1; .pyc:1"
qwen_code-review,True,3,20891,0.02,".md:2; <none>:1"
qwen_templates,True,5,9642,0.01,".md:4; <none>:1"
qwen_benchmarks,True,1,423,0.0,".md:1"
qwen_research,True,1,405,0.0,".md:1"
qwen_evaluations,True,0,0,0.0,""
qwen_plans,True,0,0,0.0,""
