type,left,right,status
exact-name,devtu-fix-tool,devtu-fix-tool,skills-only-skillmd
exact-name,devtu-optimize-descriptions,devtu-optimize-descriptions,skills-only-skillmd
exact-name,devtu-optimize-skills,devtu-optimize-skills,skills-only-skillmd
exact-name,mcp-integration,mcp-integration,same-name-different-content
exact-name,plugin-settings,plugin-settings,same-name-different-content
exact-name,setup-tooluniverse,setup-tooluniverse,skills-only-skillmd
exact-name,systematic-debugging,systematic-debugging,same-name-different-content
exact-name,tooluniverse,tooluniverse,skills-only-skillmd
exact-name,tooluniverse-clinical-trial-design,tooluniverse-clinical-trial-design,skills-only-skillmd
exact-name,tooluniverse-sequence-retrieval,tooluniverse-sequence-retrieval,skills-only-skillmd
exact-name,workspace-ecosystem-audit,workspace-ecosystem-audit,same-name-different-content
normalized-family,superpowers-brainstorming,brainstorming,name-family-only
normalized-family,superpowers-dispatching-parallel-agents,dispatching-parallel-agents,name-family-only
normalized-family,superpowers-ecosystem-clarity,ecosystem-clarity,name-family-only
normalized-family,superpowers-executing-plans,executing-plans,name-family-only
normalized-family,superpowers-finishing-a-development-branch,finishing-a-development-branch,name-family-only
normalized-family,superpowers-receiving-code-review,receiving-code-review,name-family-only
normalized-family,superpowers-requesting-code-review,requesting-code-review,name-family-only
normalized-family,superpowers-subagent-driven-development,subagent-driven-development,name-family-only
normalized-family,superpowers-test-driven-development,test-driven-development,name-family-only
normalized-family,superpowers-using-git-worktrees,using-git-worktrees,name-family-only
normalized-family,superpowers-using-superpowers,using-superpowers,name-family-different-content
normalized-family,superpowers-verification-before-completion,verification-before-completion,name-family-only
normalized-family,superpowers-workflow-bootstrap,workflow-bootstrap,name-family-only
normalized-family,superpowers-writing-plans,writing-plans,name-family-only
normalized-family,superpowers-writing-skills,writing-skills,name-family-only
