qdir,q_file_count,base_file_count,q_match,base_match,q_only_count,base_only_count,base_scope
qwen_agents,46,22,0,0,46,22,"agents | extensions/supremepower/agents | extensions/supremepower/core/agents"
qwen_docs,31,50,0,0,31,50,"docs | extensions/supremepower/docs"
qwen_skills,42,185,0,0,42,185,"skills | extensions/supremepower/skills | extensions/supremepower/core/skills"
qwen_superpowers,32,485,0,0,32,485,"commands | skills | agents | docs | tests | extensions/supremepower"
qwen_integrations,45,478,0,0,45,478,"extensions/supremepower | commands | skills | docs | tests"
qwen_templates,5,27,0,0,5,27,"gemini_templates | docs"
qwen_code-review,3,143,0,0,3,143,"docs | agents | skills"
qwen_security-guidance,4,33,0,0,4,33,"docs | policies | rules"
qwen_benchmarks,1,72,0,0,1,72,"tests | docs"
qwen_research,1,27,0,0,1,27,"docs"
qwen_plans,0,13,0,0,0,13,"plans | docs/plans | extensions/supremepower/docs/plans"
qwen_evaluations,0,106,0,0,0,106,"tests | reports | docs"
qwen_debug,43,34,0,0,43,34,"logs | reports"
qwen_projects,2,61,0,0,2,61,"reports | docs"
