source_file,reference,status,resolved_target
README.md,/Users/steven/my-supremepowers/docs/INDEX.md,ok,/Users/steven/my-supremepowers/docs/INDEX.md
docs/INDEX.md,/ARCH_COMPARISON.md,missing,/ARCH_COMPARISON.md
docs/INDEX.md,/ARCH_COMPARISON.md,missing,/ARCH_COMPARISON.md
docs/INDEX.md,/CHANGELOG.md,missing,/CHANGELOG.md
docs/INDEX.md,/EVOLUTION_AND_ITEM_HISTORY.md,missing,/EVOLUTION_AND_ITEM_HISTORY.md
docs/INDEX.md,/LICENSE,missing,/LICENSE
docs/INDEX.md,/README.md,missing,/README.md
docs/INDEX.md,/RELEASE-NOTES.md,missing,/RELEASE-NOTES.md
docs/INDEX.md,/docs/AGENTS.md,missing,/docs/AGENTS.md
docs/INDEX.md,/docs/CORE_FRAMEWORK.md,missing,/docs/CORE_FRAMEWORK.md
docs/INDEX.md,/docs/HOOKS.md,missing,/docs/HOOKS.md
docs/INDEX.md,/docs/POLICIES.md,missing,/docs/POLICIES.md
docs/INDEX.md,/docs/RULES.md,missing,/docs/RULES.md
docs/INDEX.md,/docs/SCRIPTS.md,missing,/docs/SCRIPTS.md
docs/INDEX.md,/docs/SKILLS.md,missing,/docs/SKILLS.md
docs/INDEX.md,/docs/WORKFLOW_ADD_COMPONENT.md,missing,/docs/WORKFLOW_ADD_COMPONENT.md
docs/INDEX.md,/docs/WORKFLOW_DEBUGGING.md,missing,/docs/WORKFLOW_DEBUGGING.md
docs/INDEX.md,/docs/WORKFLOW_FEATURE_DEVELOPMENT.md,missing,/docs/WORKFLOW_FEATURE_DEVELOPMENT.md
docs/INDEX.md,/docs/WORKFLOW_USER_REQUEST.md,missing,/docs/WORKFLOW_USER_REQUEST.md
docs/INDEX.md,/docs/extensions/README.md,missing,/docs/extensions/README.md
docs/INDEX.md,/docs/qwen_README.md,missing,/docs/qwen_README.md
docs/plans/2025-11-22-opencode-support-implementation.md,.opencode/INSTALL.md,missing,/Users/steven/my-supremepowers/docs/plans/.opencode/INSTALL.md
extensions/ComputerUse/README.md,URL,missing,/Users/steven/my-supremepowers/extensions/ComputerUse/URL
extensions/ComputerUse/README.md,URL,missing,/Users/steven/my-supremepowers/extensions/ComputerUse/URL
extensions/ComputerUse/servers/computerusemcp/lib/python3.12/site-packages/fastmcp/contrib/bulk_tool_caller/README.md,./example.py,ok,/Users/steven/my-supremepowers/extensions/ComputerUse/servers/computerusemcp/lib/python3.12/site-packages/fastmcp/contrib/bulk_tool_caller/example.py
extensions/agent-creator/README.md,LICENSE,ok,/Users/steven/my-supremepowers/extensions/agent-creator/LICENSE
extensions/apify-agent-skills/README.md,LICENSE,missing,/Users/steven/my-supremepowers/extensions/apify-agent-skills/LICENSE
extensions/apify-agent-skills/README.md,skills/apify-actor-development/,ok,/Users/steven/my-supremepowers/extensions/apify-agent-skills/skills/apify-actor-development
extensions/apify-agent-skills/README.md,skills/apify-actorization/,ok,/Users/steven/my-supremepowers/extensions/apify-agent-skills/skills/apify-actorization
extensions/apify-agent-skills/README.md,skills/apify-generate-output-schema/,ok,/Users/steven/my-supremepowers/extensions/apify-agent-skills/skills/apify-generate-output-schema
extensions/apify-agent-skills/README.md,skills/apify-ultimate-scraper/,ok,/Users/steven/my-supremepowers/extensions/apify-agent-skills/skills/apify-ultimate-scraper
extensions/apify-agent-skills/commands/create-actor.md,skills/apify-actor-development/references/actor-json.md,missing,/Users/steven/my-supremepowers/extensions/apify-agent-skills/commands/skills/apify-actor-development/references/actor-json.md
extensions/apify-agent-skills/commands/create-actor.md,skills/apify-actor-development/references/dataset-schema.md,missing,/Users/steven/my-supremepowers/extensions/apify-agent-skills/commands/skills/apify-actor-development/references/dataset-schema.md
extensions/apify-agent-skills/commands/create-actor.md,skills/apify-actor-development/references/input-schema.md,missing,/Users/steven/my-supremepowers/extensions/apify-agent-skills/commands/skills/apify-actor-development/references/input-schema.md
extensions/apify-agent-skills/commands/create-actor.md,skills/apify-actor-development/references/key-value-store-schema.md,missing,/Users/steven/my-supremepowers/extensions/apify-agent-skills/commands/skills/apify-actor-development/references/key-value-store-schema.md
